Building Address,"Building Type
(Commercial Buildings1, 
Healthcare Facilities2, 
Educational Institutions3)","Building Size
(Large Size Commercial Buildings: 
i) Office Building, Retail Building, and Mixed Development - GFA ≥ 15,000 m2
ii) Hotel - GFA ≥ 7,000 m2

Small Size Commercial Buildings:: 
i) Office Building, Retail Building, and Mixed Development - GFA < 15,000 m2
ii) Hotel - GFA < 7,000 m2)",Public Sector,Year Obtained TOP/CSC,Green Mark Year of Award,Green Mark Rating,"Green Mark Status 
(Yes – Green Mark building;
No – non-Green Mark building)",Gross Floor Area (m2),Percentage of Air-conditioned Floor Area (%),Average Monthly Building Occupancy Rate (%) ,Number of Hotel Rooms,Type of Air-conditioning System,"Age of Newest Chiller/Air-conditioner
",Centralised Air-conditioning Plant Efficiency (kW/RT),Year of Last Chiller Plant Audit/ Health Check,Percentage Usage of LED (%),Installation of Solar PV (Y/N),"2016
Energy Use Intensity (EUI)
(kWh/m2.yr) ","2017
Energy Use Intensity
(EUI) 
(kWh/m2.yr) ","2018
Energy Use Intensity (EUI)
(kWh/m2.yr) ",EUI Performance Compared to the Previous Year (Improve/ Worsen),"Benchmarking - 
EUI Quartile",Voluntary Disclosure,postal_code,lat,lon,plan_area
"8 CLAYMORE HILL, SINGAPORE 229572",Hotel,Large,No,2011.0,2012.0,Gold,Yes,13539.0,0.9696432528251717,90.0,85.0,Water Cooled Chilled Water Plant,5.0,0.87,2012.0,50.0,N,206.22392421892312,203.87656030726052,200.65541398921633,Improved,Top Quartile,Y,229572,1.307553840348,103.83198635162,ORCHARD
"116 MIDDLE ROAD, SINGAPORE 188972",Office,Small,No,1979.0,,,No,6421.0,0.9065566111197633,90.0,,Water Cooled Packaged Unit,10.0,,,0.0,N,72.43236411773867,70.56004049213519,70.12407101697555,Improved,Top Quartile,Y,188972,1.29927207170387,103.853507276608,ROCHOR
"30 VICTORIA STREET, SINGAPORE 187996",Retail,Small,No,2014.0,2015.0,Certified,Yes,14790.0,0.46531440162271803,90.0,,Air Cooled Chilled Water Plant,15.0,,,25.0,N,535.2856659905342,510.70482758620693,520.0466260987154,Worsened,Bottom Quartile,Y,187996,1.29479670956332,103.852573366033,DOWNTOWN CORE
"16 UPPER CROSS STREET, SINGAPORE 058331",Hotel,Small,No,1904.0,,,No,315.0,0.19047619047619047,100.0,20.0,"Others (Split Units, Unitary Systems)",5.0,,,0.0,N,368.9968253968254,313.81079365079364,347.80615873015876,Worsened,Bottom Quartile,Y,058331,1.28381904536254,103.845428762085,OUTRAM
"210 SOUTH BRIDGE ROAD, SINGAPORE 058759",Hotel,Small,No,2014.0,,,No,1906.0,0.8394543546694648,90.0,47.0,"Others (Split Units, Unitary Systems)",3.0,,,20.0,N,212.79714585519412,216.79467471143758,217.371259181532,Worsened,2nd Quartile,Y,058759,1.2833972658063,103.845702273218,OUTRAM
"1 SCOTTS ROAD, SINGAPORE 228208",Office,Large,No,1975.0,2012.0,Gold,Yes,40939.0,0.8781357629644104,85.0,,Water Cooled Chilled Water Plant,2.0,0.65,2016.0,28.0,N,353.98502002730993,366.8660724492538,362.0225213121962,Improved,Bottom Quartile,Y,228208,1.30618594739077,103.831980208498,ORCHARD
"350 ORCHARD ROAD, SINGAPORE 238868",Office,Large,No,1993.0,2012.0,Gold,Yes,49048.0,0.5341502201924645,90.0,,Water Cooled Chilled Water Plant,1.0,0.65,2016.0,11.0,N,280.411286902626,267.5437377670853,260.31382523242536,Improved,Bottom Quartile,Y,238868,1.30580981580562,103.831507365654,ORCHARD
"291 NEW BRIDGE ROAD, SINGAPORE 088756",Retail,Small,No,1993.0,,,No,5992.0,0.5897863818424566,94.0,,Air Cooled Chilled Water Plant,20.0,,,1.0,N,384.75469125500666,401.7307860480641,378.86730807743663,Improved,3rd Quartile,Y,088756,1.28189332818051,103.841977656341,OUTRAM
"23A COLEMAN STREET, SINGAPORE 179806",Retail,Small,No,2013.0,,,No,2789.0,0.6453926138400861,60.0,,"Others (Split Units, Unitary Systems)",3.0,,,30.0,N,146.98745069917533,135.15684474722121,99.74317318035139,Improved,Top Quartile,Y,179806,1.29255612664997,103.848985573515,MUSEUM
"70 COLLYER QUAY, SINGAPORE 049323",Hotel,Large,No,2010.0,,,No,63959.0,0.9549266247379455,100.0,,"Others (Split Units, Unitary Systems)",0.0,,,30.0,N,524.7229023655644,498.23003017558125,494.2075939273597,Improved,Bottom Quartile,Y,049323,1.28250872626601,103.853557170034,DOWNTOWN CORE
"351 CRANWELL ROAD, SINGAPORE 509866",Hotel,Large,No,2012.0,,,No,45000.0,0.06888888888888889,50.0,141.0,"Others (Split Units, Unitary Systems)",7.0,,,70.0,N,56.08660933333333,53.39625933333333,44.21665977777778,Improved,Top Quartile,Y,509866,1.38857514801284,103.975654971605,CHANGI
"78 SOUTH BRIDGE ROAD, SINGAPORE 058708",Office,Small,No,2008.0,,,No,587.0,0.7955706984667802,85.0,,"Others (Split Units, Unitary Systems)",7.0,,,0.0,N,169.14310051107324,167.15502555366268,147.42419080068143,Improved,2nd Quartile,Y,058708,1.28692317241529,103.847808736632,SINGAPORE RIVER
"36 CARPENTER STREET, SINGAPORE 059915",Office,Small,No,2018.0,,,No,2096.0,0.7800572519083969,100.0,,"Others (Split Units, Unitary Systems)",0.0,,,90.0,N,228.61402671755727,14.241412213740459,38.408874045801525,Worsened,Top Quartile,Y,059915,1.28797055262351,103.847669086402,SINGAPORE RIVER
"11 JALAN PINANG, SINGAPORE 199143",Hotel,Small,No,2013.0,,,No,1000.0,0.836,75.0,43.0,Water Cooled Packaged Unit,4.0,,,100.0,N,236.74033,256.03685,258.83705,Worsened,3rd Quartile,Y,199143,1.30276980970255,103.858279136308,ROCHOR
"223 MOUNTBATTEN ROAD, SINGAPORE 398008",Office,Small,No,2013.0,,,No,11735.0,0.7302087771623349,77.0,,"Others (Split Units, Unitary Systems)",7.0,,,100.0,N,85.22974009373668,89.87345547507456,94.71112654452493,Worsened,Top Quartile,Y,398008,1.30856907438559,103.879015552038,GEYLANG
"20 LENGKOK BAHRU, SINGAPORE 159053",Office,Small,Yes,2015.0,,,No,14822.0,0.6746727836999056,100.0,,"Others (Split Units, Unitary Systems)",4.0,,,90.0,N,152.82238766698148,145.01682364053434,161.70459991903928,Worsened,2nd Quartile,Y,159053,1.28678542424641,103.814674234674,BUKIT MERAH
"149 COMPASSVALE BOW, SINGAPORE 544690",Office,Small,Yes,2016.0,,,No,5530.0,0.12459312839059675,21.0,30.0,"Others (Split Units, Unitary Systems)",5.0,,,0.0,N,22.464737793851718,45.93149186256781,65.53490235081374,Worsened,Top Quartile,Y,544690,1.38283357281231,103.890243161685,SENGKANG
"100 PECK SEAH STREET, SINGAPORE 079333",Hotel,Large,No,2015.0,,,No,17198.0,0.8999883707407839,90.0,314.0,Water Cooled Chilled Water Plant,3.0,,,60.0,N,235.83031515292475,290.5282916618212,305.22925747179903,Worsened,3rd Quartile,Y,079333,1.27585064007043,103.844244849875,OUTRAM
"323 ALEXANDRA ROAD, SINGAPORE 159972",Hotel,Large,No,1991.0,,,No,13572.0,0.8841732979664014,98.0,442.0,Water Cooled Chilled Water Plant,19.0,,,90.0,N,105.58944886531093,110.42735042735043,108.76215738284704,Improved,Top Quartile,Y,159972,1.2875799507811,103.805370074496,BUKIT MERAH
"3 ANSON ROAD, SINGAPORE 079909",Office,Large,No,2003.0,,,No,33846.0,1.0,88.0,,"Others (Split Units, Unitary Systems)",14.0,,,60.0,N,241.6030810140046,224.8436151982509,209.14158246173847,Improved,3rd Quartile,Y,079909,1.27508475472297,103.84624628336,DOWNTOWN CORE
"99 IRRAWADDY ROAD, SINGAPORE 329568",Retail,Large,No,2017.0,2017.0,Platinum,Yes,36961.0,0.3741781878195936,30.0,250.0,Water Cooled Chilled Water Plant,1.0,0.62,2017.0,60.0,N,2.9991071670138796,68.2616812315684,207.74280998890723,Worsened,Top Quartile,Y,329568,1.32057156550961,103.843219260793,NOVENA
"780 UPPER SERANGOON ROAD, SINGAPORE 534649",Retail,Small,No,2002.0,,,No,729.0,1.0,100.0,,"Others (Split Units, Unitary Systems)",0.0,,,70.0,N,555.1659807956104,447.4280932784637,463.1738683127572,Worsened,3rd Quartile,Y,534649,1.35450868269668,103.879280958773,HOUGANG
"90 BOON LAY WAY, SINGAPORE 609958",Office,Small,Yes,2002.0,,,No,5834.0,0.11998628728145355,70.0,,"Others (Split Units, Unitary Systems)",1.0,,,0.0,N,38.68272197463147,56.825505656496404,50.58450462804251,Improved,Top Quartile,Y,609958,1.33997286000469,103.737065907111,JURONG EAST
"165 TYRWHITT ROAD, SINGAPORE 207569",Hotel,Small,No,2014.0,,,No,6962.0,0.8618213157138753,90.0,270.0,"Others (Split Units, Unitary Systems)",6.0,,,100.0,N,264.07946136167766,250.61977161735135,254.21244613616778,Worsened,2nd Quartile,Y,207569,1.31233534245763,103.860647510473,KALLANG
"420 NORTH BRIDGE ROAD, SINGAPORE 188727",Office,Small,No,1993.0,2014.0,Gold,Yes,9164.0,0.9600611086861632,92.0,,Water Cooled Chilled Water Plant,1.0,0.6,2013.0,100.0,N,142.39129528590135,137.17452422522916,136.8274879965081,Improved,2nd Quartile,Y,188727,1.29719949216524,103.854944130225,DOWNTOWN CORE
"700 BEACH ROAD, SINGAPORE 199598",Hotel,Large,No,2016.0,,,No,7093.0,1.0,80.0,300.0,"Others (Split Units, Unitary Systems)",3.0,,,80.0,N,148.43176935006346,298.0899478358945,331.47367545467364,Worsened,Bottom Quartile,Y,199598,1.30238571587691,103.864195812001,DOWNTOWN CORE
"1G CLUNY ROAD, SINGAPORE 259603",Office,Small,Yes,1998.0,,,No,977.0,0.9825997952917093,100.0,,"Others (Split Units, Unitary Systems)",3.0,,,100.0,N,,,,Improved,Not benchmarked,Y,259603,1.3195183559152,103.816557954578,TANGLIN
"250 SIMS AVENUE, SINGAPORE 387513",Office,Small,Yes,1996.0,,,No,1897.0,0.790722192936215,100.0,,"Others (Split Units, Unitary Systems)",10.0,,,80.0,N,173.57765419082762,155.35340537691093,114.33101739588824,Improved,Top Quartile,Y,387513,1.31488723057014,103.882616155438,GEYLANG
"230 VICTORIA STREET, SINGAPORE 188024",Mixed Development,Large,No,1994.0,2017.0,Platinum,Yes,118984.0,0.8128437795606629,100.0,,Water Cooled Chilled Water Plant,3.0,,,18.0,N,393.0736842105263,381.9290324749546,377.75250453842534,Improved,Bottom Quartile,Y,188024,1.29988818208147,103.85602341047,DOWNTOWN CORE
"9 KING ALBERT PARK, SINGAPORE 598332",Retail,Small,No,2016.0,,,No,5535.0,0.5420054200542005,70.0,,"Others (Split Units, Unitary Systems)",2.0,,,0.0,N,13.734417344173442,87.33947606142728,179.2006467931346,Worsened,Top Quartile,Y,598332,1.33684217543455,103.779313809973,BUKIT TIMAH
"5 MAXWELL ROAD, SINGAPORE 069110",Office,Large,Yes,1970.0,,,No,84229.0,0.5639663973264358,100.0,,Water Cooled Chilled Water Plant,18.0,,,0.0,N,140.24896555818069,158.98745693288535,137.59019565707771,Improved,Top Quartile,Y,069110,1.27904432386962,103.845635156718,DOWNTOWN CORE
"111 MIDDLE ROAD, SINGAPORE 188969",Office,Small,Yes,1900.0,2016.0,Platinum,Yes,7860.0,0.7786259541984732,79.0,,"Others (Split Units, Unitary Systems)",2013.0,,,79.0,N,228.09274809160306,197.8550076335878,196.49316157760813,Improved,3rd Quartile,Y,188969,1.29847943603692,103.853501293482,ROCHOR
"83 PUNGGOL CENTRAL, SINGAPORE 828761",Retail,Large,No,2015.0,2015.0,GoldPlus,Yes,50399.0,0.0882557193595111,99.0,,Water Cooled Chilled Water Plant,3.0,0.65,2016.0,85.0,N,496.3613960594456,548.8336871763329,561.3762872279212,Worsened,Bottom Quartile,Y,828761,1.4064128346795,103.902188891645,PUNGGOL
"11 TAMPINES CENTRAL 1, SINGAPORE 529542",Office,Small,No,1999.0,2014.0,Gold,Yes,10777.0,0.8258327920571588,100.0,,Water Cooled Chilled Water Plant,4.0,0.63,2017.0,5.0,N,1067.8997030713556,834.1315301104204,274.4568247193097,Improved,Bottom Quartile,Y,529542,1.35451927028264,103.9422023716,TAMPINES
"31 TAMPINES AVENUE 4, SINGAPORE 529680",Office,Small,No,1997.0,2014.0,Gold,Yes,8946.0,0.8942544153811759,100.0,,Water Cooled Chilled Water Plant,4.0,0.8,2017.0,7.0,N,274.7648211491169,281.93704337133914,289.94590878604964,Worsened,Bottom Quartile,Y,529680,1.35221579377494,103.94240127802,TAMPINES
"5 ANG MO KIO CENTRAL 2, SINGAPORE 569663",Retail,Small,No,2013.0,2013.0,Certified,Yes,5103.0,0.8818342151675485,50.0,,Water Cooled Chilled Water Plant,6.0,0.8,2015.0,100.0,N,452.5308641975309,469.2078346070939,498.46849696257107,Worsened,Bottom Quartile,Y,569663,1.37286217975215,103.847644977493,ANG MO KIO
"11 EUNOS ROAD 8, SINGAPORE 408601",Private School,Large,No,2013.0,2013.0,Platinum,Yes,31054.0,0.5796354736909899,85.0,,Water Cooled Chilled Water Plant,4.0,0.65,2013.0,20.0,N,171.53127262188445,162.6595768661042,156.12813582791267,Improved,Not benchmarked,Y,408601,1.31945233598262,103.892134990552,GEYLANG
"288 BALESTIER ROAD, SINGAPORE 329731",Retail,Small,No,2003.0,,,No,2002.0,0.14985014985014986,100.0,,"Others (Split Units, Unitary Systems)",1.0,,,25.0,N,153.15082917082916,145.2615934065934,132.77449050949053,Improved,Top Quartile,Y,329731,1.32297698121569,103.852811354547,NOVENA
"76 SOUTH BRIDGE ROAD, SINGAPORE 058706",Office,Small,No,1980.0,,,No,307.0,1.0,100.0,,"Others (Split Units, Unitary Systems)",1980.0,,,0.0,N,175.48534201954396,177.01628664495115,222.43973941368077,Worsened,3rd Quartile,Y,058706,1.28696625647615,103.847834337689,SINGAPORE RIVER
"8 MOSQUE STREET, SINGAPORE 059488",Hotel,Small,No,1996.0,,,No,258.0,1.0,70.0,10.0,"Others (Split Units, Unitary Systems)",3.0,,,0.0,N,625.9981467181468,863.7708527131783,1056.0151937984494,Worsened,Bottom Quartile,Y,059488,1.28397001789456,103.844151404925,OUTRAM
"38 HONGKONG STREET, SINGAPORE 059677",Hotel,Small,No,1942.0,,,No,538.0,1.0,100.0,13.0,"Others (Split Units, Unitary Systems)",0.0,,,0.0,N,196.1121003717472,211.5493494423792,225.10241635687734,Worsened,2nd Quartile,Y,059677,1.28732251766856,103.847321956736,SINGAPORE RIVER
"501 BALESTIER ROAD, SINGAPORE 329844",Office,Small,No,1992.0,,,No,2636.0,0.5796661608497724,100.0,,"Others (Split Units, Unitary Systems)",8.0,,,0.0,N,77.68101669195751,83.06714719271623,82.7788315629742,Improved,Top Quartile,Y,329844,1.32622555347597,103.847000598534,NOVENA
"511 GUILLEMARD ROAD, SINGAPORE 399849",Retail,Small,No,2000.0,,,No,10110.0,0.6783382789317507,70.0,,"Others (Split Units, Unitary Systems)",15.0,,,30.0,N,418.0532195845697,374.5920603363007,326.71008605341245,Improved,2nd Quartile,Y,399849,1.3141912983094,103.891500511011,GEYLANG
"10 PASIR RIS WALK, SINGAPORE 518240",Nursing Home,Small,No,1999.0,,,No,7148.0,0.11989367655288193,98.0,,"Others (Split Units, Unitary Systems)",8.0,,,40.0,N,92.68657386681589,90.8246348628987,78.3169683827644,Improved,Not benchmarked,Y,518240,1.37051309453294,103.964269887064,PASIR RIS
"20 NASSIM ROAD, SINGAPORE 258395",Office,Small,No,1986.0,,,No,650.0,0.8461538461538461,100.0,,"Others (Split Units, Unitary Systems)",5.0,,,100.0,N,185.57846153846154,180.47846153846154,205.32923076923078,Worsened,3rd Quartile,Y,258395,1.30903804428064,103.822915406228,TANGLIN
"321 ORCHARD ROAD, SINGAPORE 238866",Retail,Small,No,1976.0,,,No,5943.0,0.8938246676762578,80.0,,Water Cooled Chilled Water Plant,15.0,,,0.0,N,360.338899545684,344.08399798081774,288.4775668854114,Improved,2nd Quartile,Y,238866,1.30146560603949,103.83792633759,ORCHARD
"5 TAMPINES CENTRAL 6, SINGAPORE 529482",Office,Large,No,1996.0,,,No,42420.0,0.5217821782178218,50.0,,Water Cooled Chilled Water Plant,4.0,,,17.0,N,584.7970391324847,564.2749174917492,573.0389203206034,Worsened,Bottom Quartile,Y,529482,1.35343481251809,103.942097061129,TAMPINES
"5 BISHAN STREET 14, SINGAPORE 579783",Office,Small,No,1998.0,,,No,2375.0,0.16842105263157894,80.0,,"Others (Split Units, Unitary Systems)",7.0,,,0.0,N,539.7854315789473,552.1029052631578,530.3336842105264,Improved,Bottom Quartile,Y,579783,1.35528263459438,103.850922068559,BISHAN
"171 TRAS STREET, SINGAPORE 079025",Office,Small,No,1987.0,,,No,680.0,1.0,90.0,,"Others (Split Units, Unitary Systems)",10.0,,,0.0,N,815.6438382352942,796.6123823529413,603.6702647058823,Improved,Bottom Quartile,Y,079025,1.27444651846065,103.843929515239,DOWNTOWN CORE
"6 CLAYMORE HILL, SINGAPORE 229571",Office,Small,No,1983.0,,,No,3086.0,1.0,100.0,,Water Cooled Chilled Water Plant,12.0,,,20.0,N,424.9815327284511,388.14241088788077,342.0637848347375,Improved,Bottom Quartile,Y,229571,1.30680827690433,103.831622132301,ORCHARD
"21 TAN QUEE LAN STREET, SINGAPORE 188108",Office,Small,No,1998.0,,,No,1858.0,0.8493003229278795,100.0,,"Others (Split Units, Unitary Systems)",10.0,,,0.0,N,342.6067851373183,347.0920559741658,371.32940258342296,Worsened,Bottom Quartile,Y,188108,1.29858926583677,103.856405058091,DOWNTOWN CORE
"252 TEMBELING ROAD, SINGAPORE 423731",Office,Small,No,1987.0,,,No,2044.0,0.9090019569471625,100.0,,"Others (Split Units, Unitary Systems)",0.0,,,0.0,N,206.97453522504892,177.91302348336595,162.23486790606654,Improved,2nd Quartile,Y,423731,1.30646586931309,103.905318255744,MARINE PARADE
"212 TELOK KURAU ROAD, SINGAPORE 423835",Office,Small,No,1974.0,,,No,3406.0,0.9086905460951262,100.0,,"Others (Split Units, Unitary Systems)",8.0,,,0.0,N,57.98945977686436,62.050722254844395,58.51749266001174,Improved,Top Quartile,Y,423835,1.31208929632504,103.910595032354,BEDOK
"34 CRAIG ROAD, SINGAPORE 089673",Retail,Small,No,1984.0,,,No,4828.0,0.46706710853355426,100.0,,Water Cooled Chilled Water Plant,30.0,,,0.0,N,334.34595691797847,325.37523819386905,315.0806524440762,Improved,2nd Quartile,Y,089673,0,0,NA
"914 EAST COAST ROAD, SINGAPORE 459108",Retail,Small,No,1994.0,,,No,2639.0,0.23948465327775673,100.0,,"Others (Split Units, Unitary Systems)",10.0,,,25.0,N,161.3857408109132,139.51780598711633,121.87452444107616,Improved,Top Quartile,Y,459108,1.31205928208952,103.924449849436,BEDOK
"140 UPPER BUKIT TIMAH ROAD, SINGAPORE 588176",Office,Small,No,1983.0,,,No,4859.0,0.4280716196748302,90.0,,Water Cooled Chilled Water Plant,8.0,0.99,2016.0,100.0,N,293.75632640461,297.9181004321877,283.70250463058244,Improved,Bottom Quartile,Y,588176,1.34180018619223,103.776259359854,BUKIT TIMAH
"291 JOO CHIAT ROAD, SINGAPORE 427543",Retail,Small,No,2011.0,,,No,1253.0,1.0,52.0,,"Others (Split Units, Unitary Systems)",4.0,,,0.0,N,518.9141739824421,502.3558659217877,481.65217877094966,Improved,Bottom Quartile,Y,427543,1.3098709702541,103.902354993065,MARINE PARADE
"43 DICKSON ROAD, SINGAPORE 209518",Hotel,Small,No,2011.0,,,No,715.0,0.8391608391608392,52.0,24.0,"Others (Split Units, Unitary Systems)",5.0,,,100.0,N,377.05320279720286,352.69924475524476,329.080979020979,Improved,3rd Quartile,Y,209518,1.30536817789958,103.853723610553,ROCHOR
"1 JALAN BERSEH, SINGAPORE 209037",Office,Small,No,2000.0,,,No,8625.0,0.011594202898550725,95.0,,"Others (Split Units, Unitary Systems)",0.0,,,40.0,N,324.5439652173913,322.0825495652174,317.4868,Improved,Bottom Quartile,Y,209037,1.30740644951859,103.85747836874,ROCHOR
"289 BEACH ROAD, SINGAPORE 199552",Hotel,Small,No,1988.0,,,No,1088.0,0.0009191176470588235,100.0,,"Others (Split Units, Unitary Systems)",4.0,,,0.0,N,333.9677849264706,349.5532536764706,303.4170680147058,Improved,3rd Quartile,Y,199552,1.3010276538017,103.860566716683,ROCHOR
"2 ORCHARD LINK, SINGAPORE 237978",Mixed Development,Small,Yes,2010.0,2017.0,Gold,Yes,13102.0,0.5724316898183484,80.0,,"Others (Split Units, Unitary Systems)",8.0,,,90.0,N,363.106800488475,369.67339642802625,359.1984055869333,Improved,Bottom Quartile,Y,237978,1.30106463675593,103.835784682851,ORCHARD
"701 GEYLANG ROAD, SINGAPORE 389687",Office,Small,No,2003.0,,,No,1943.0,0.9516212043232115,100.0,,"Others (Split Units, Unitary Systems)",2.0,,,0.0,N,246.38439011837366,238.52068965517242,226.1334122490993,Improved,3rd Quartile,Y,389687,1.31478597560553,103.889462295301,GEYLANG
"540 SIMS AVENUE, SINGAPORE 387603",Office,Small,No,1997.0,,,No,1943.0,0.9516212043232115,100.0,,"Others (Split Units, Unitary Systems)",7.0,,,30.0,N,202.2259392691714,180.51613484302624,184.74980957282554,Worsened,3rd Quartile,Y,387603,1.31616810157098,103.889561883558,GEYLANG
"711 GEYLANG ROAD, SINGAPORE 389626",Office,Small,No,1995.0,,,No,1939.0,1.0,100.0,,"Others (Split Units, Unitary Systems)",3.0,,,0.0,N,128.06343476018566,120.6846982980918,103.8856884992264,Improved,Top Quartile,Y,389626,1.31487379175539,103.889947604393,GEYLANG
"586 GEYLANG ROAD, SINGAPORE 389525",Hotel,Small,No,1998.0,,,No,340.0,0.5,50.0,10.0,"Others (Split Units, Unitary Systems)",5.0,,,0.0,N,527.6911764705883,469.38741176470586,585.8439117647059,Worsened,Bottom Quartile,Y,389525,1.31396454705992,103.887584108724,GEYLANG
"31 LORONG 8 GEYLANG, SINGAPORE 399095",Hotel,Small,No,1998.0,,,No,1520.0,0.5513157894736842,75.0,43.0,"Others (Split Units, Unitary Systems)",2.0,,,100.0,N,124.17632236842105,131.70705921052632,129.42994078947368,Improved,Top Quartile,Y,399095,1.31083761848136,103.877402299063,GEYLANG
"23 KAMPONG BAHRU ROAD, SINGAPORE 169349",Office,Small,No,1900.0,,,No,316.0,0.6962025316455697,80.0,,"Others (Split Units, Unitary Systems)",6.0,,,0.0,N,368.4018987341772,436.8512658227848,424.8544303797468,Improved,Bottom Quartile,Y,169349,1.27708979191955,103.836580334145,BUKIT MERAH
"333 JALAN BESAR, SINGAPORE 209018",Office,Small,No,1990.0,,,No,1600.0,0.25,100.0,,"Others (Split Units, Unitary Systems)",8.0,,,100.0,N,74.229375,71.76375,68.240625,Improved,Top Quartile,Y,209018,1.31188420605731,103.85925646337,KALLANG
"30 WOODLANDS AVENUE 1, SINGAPORE 739065",Retail,Small,No,2000.0,,,No,10000.0,0.6,90.0,,"Others (Split Units, Unitary Systems)",6.0,,,0.0,N,300.039212,270.483087,233.18188700000002,Improved,Top Quartile,Y,739065,1.42938474074212,103.781292115087,WOODLANDS
"1 CREATE WAY, SINGAPORE 138602",Univerisity,Large,Yes,2011.0,2017.0,Platinum,Yes,67246.0,0.7998245248788032,80.0,,District Cooling Plant,8.0,,,17.0,N,,,,Improved,Not benchmarked,Y,138602,1.30399654877953,103.774032940413,QUEENSTOWN
"101 BEACH ROAD, SINGAPORE 189703",Office,Small,No,1970.0,,,No,3546.0,0.28426395939086296,100.0,,"Others (Split Units, Unitary Systems)",10.0,,,100.0,N,224.48822899041173,194.91227016356459,163.13560067681894,Improved,2nd Quartile,Y,189703,1.29775245086994,103.856949531399,DOWNTOWN CORE
"220 ORCHARD ROAD, SINGAPORE 238852",Retail,Small,No,1984.0,,,No,5369.0,0.9910597876699572,90.0,,"Others (Split Units, Unitary Systems)",5.0,,,0.0,N,373.709422611287,368.717729558577,379.8544756937978,Worsened,3rd Quartile,Y,238852,1.30177313264942,103.838659652851,ORCHARD
"51 BENCOOLEN STREET, SINGAPORE 189630",Hotel,Large,No,2004.0,,,No,9336.0,0.2275064267352185,70.0,107.0,"Others (Split Units, Unitary Systems)",13.0,,,30.0,N,206.38003427592116,207.05214010282776,213.50860539845758,Worsened,Top Quartile,Y,189630,1.29937379615615,103.850356180598,ROCHOR
"210 MIDDLE ROAD, SINGAPORE 188994",Office,Small,No,2013.0,2013.0,GoldPlus,Yes,13121.0,0.9594543098849173,100.0,,Water Cooled Chilled Water Plant,4.0,0.67,2016.0,2.0,N,276.2398570861453,264.38673881563903,264.46833930340676,Worsened,Bottom Quartile,Y,188994,1.30116888567599,103.851282489716,ROCHOR
"50 TELOK BLANGAH ROAD, SINGAPORE 098828",Hotel,Large,No,2012.0,,,No,7262.0,0.9270173505921234,83.0,319.0,"Others (Split Units, Unitary Systems)",7.0,,,75.0,N,421.58591824731656,395.71326494078767,393.97135086752957,Improved,Bottom Quartile,Y,098828,1.26617554108454,103.823800983091,BUKIT MERAH
"360 ORCHARD ROAD, SINGAPORE 238869",Office,Large,No,1990.0,2015.0,GoldPlus,Yes,15267.0,0.952839457653763,90.0,,Water Cooled Chilled Water Plant,2.0,,,40.0,N,204.65851575293115,348.8896083054955,535.2711488832122,Worsened,Bottom Quartile,Y,238869,1.30607515954354,103.831003321455,ORCHARD
"63 MARKET STREET, SINGAPORE 048942",Office,Large,No,2000.0,,,No,18275.0,0.9890560875512996,60.0,,"Others (Split Units, Unitary Systems)",11.0,,,10.0,N,442.41740082079343,455.51625718194254,457.7922626538988,Worsened,Bottom Quartile,Y,048942,1.28429423831109,103.850618904219,DOWNTOWN CORE
"260 TANJONG PAGAR ROAD, SINGAPORE 088542",Office,Small,No,1989.0,,,No,4024.0,0.9194831013916501,85.0,,"Others (Split Units, Unitary Systems)",6.0,,,25.0,N,165.70984594594597,155.05105616302185,159.57919980119283,Worsened,2nd Quartile,Y,088542,1.27372070013498,103.842914793356,DOWNTOWN CORE
